,id_поста,text_tokens,text_length,preprocessed_comments
70,15561,вчера резко упасть успеваемость студент итмый,6,"[('криииинж', 1), ('новость должный наш паблик', 4), ('сторона признать согласиться', 3), ('говориться переобучиться', 2), ('реально упасть', 2), ('успеваемость студент резко упасть', 4), ('скоро студентво повесить весь назидание', 5)]"
71,15555,,0,"[('актуалочка курс', 2)]"
72,15552,,0,"[('', 0), ('получить долг универ отдать отечество', 5), ('хороший попытка товарищ военный комиссар', 5), ('привет сентябрь', 2)]"
73,15531,,0,"[('', 0), ('', 0), ('', 0), ('', 0), ('почему жизненно', 2), ('', 0), ('попасть хороший учитель', 3), ('', 0), ('', 0), ('малинка кл вая', 3), ('', 0), ('попасть хлебутин', 2), ('сука прочувствовать боль', 3), ('', 0), ('энди', 1), ('твой выход', 2)]"
74,15526,,0,"[('', 0), ('последствие учёба фтмить', 3)]"
75,15520,,0,"[('', 0), ('чот ор херня слава', 4), ('', 0), ('', 0), ('запись', 1), ('ахахи', 1)]"
76,15506,победить корона заражение добрый позитив,5,"[('поддержать пост локдаун бесполезный код бесполезный маска бесполезный', 8), ('ещ пост гений забывать смотреть количество смерть являться главный показатель эффективность вакцина отсутствие купить сертификат ровно опасность ситуация миллион главное умирать', 21), ('пиздим мем вышка мгу понять', 5), ('привет лэти', 2)]"
77,15500,сиквел который заслужить анон,4,"[('ебать дверь сторона открываться ахуеть доебаться нихуй', 7)]"
78,15485,дисклеймера хотеть обидеть дать песня обидеть хотеть,7,"[('', 0), ('гимн большой нравиться', 3), ('жд м клип', 3), ('годнота', 1), ('нужный лайф версия', 3), ('нормальный гач ремикс', 3), ('вспомнить свой вуз', 3), ('', 0), ('оригинал выложить', 2), ('переиздание перезалив', 2)]"
79,15474,признаваться,1,"[('препод уйти', 2), ('', 0), ('чево наделать', 2), ('мочь успеть вовремя занятие', 4), ('армянин который нард играть', 4), ('шашка бильярдный человек катать партия бильярд', 6), ('', 0), ('', 0), ('', 0), ('знаменитый баг пофиксиль', 3), ('ещ прийти вообще остаться', 4), ('хотеться верить очередной падение намеренный взлом иначе становиться грустно', 9), ('ахахахха', 1)]"
80,15472,,0,[]
81,15467,,0,"[('саут парк жечь', 3), ('мем кайф автор', 3), ('автор хороший', 2)]"
82,15461,здравый смысл начало учебный год иса падать разработчик дурак извлечь урок свой ошибка сделать студент,15,"[('иса падать момент создание падать вечно менять традиция', 8), ('начало год', 2), ('итмый платить работать платить работать шанс', 6)]"
83,15440,ставить лайк успеть выбрать атака,5,"[('успеть факультатив феминизм выбрать', 4), ('выбор предмет прош л успешно', 5), ('', 0), ('простить', 1)]"
84,15431,говорить заранее читать описание факультатив выбрать интересный,7,"[('любимый теория феминизм надеяться следующий семестр практика', 7), ('', 0), ('нибыть знать оставить список который совпадать основный расписание', 8), ('че сайт', 2)]"
85,15429,огнп счастливый голодный игра удача,5,"[('хотеть провести пара хайпарка ещ построить', 6)]"
86,15426,полчаса,1,"[('', 0)]"
87,15413,,0,"[('дверь стоить нормально', 3), ('помнить инфо презентация хайпарка первый квартал год корпус стоять зажить м строить кек', 13), ('сумма откат выше затрата строительство', 5), ('кек пора проблема итмый свой команда который позвать конкурс заявка', 10), ('питер появиться нормальный заброшка', 4)]"
88,15395,,0,"[('реально нужный путать генеральный совокупность выборка', 6), ('правильный', 1), ('числовой ряд провести сглаживание значение', 5), ('реальный пост ответ оцениваться выборка', 5), ('', 0), ('значение матстат считать', 3), ('допустить женщина образование применять век', 5), ('вынести', 1), ('', 0), ('правило правый левый рука итог', 5)]"
89,15392,,0,"[('', 0), ('', 0), ('', 0)]"
90,15386,итмый течение сема пара неделя итмый время сессия экзамен зачёт,10,"[('присутствие энергетика отсутствие энергетика', 4), ('шутка ходить уник', 3)]"
91,15385,,0,"[('помнить мать пилот ева', 4)]"
92,15371,экзамен день лекция,3,"[('наботало полный мозг выучить билет', 5), ('чел харош', 2), ('час', 1), ('наимерзкий слово', 2)]"
93,15370,,0,"[('кт девушка', 2)]"
94,15356,,0,"[('интересненький просить компенсация', 3), ('интересно нибыть дойти', 3)]"
95,15350,,0,"[('сессия', 1), ('первый часть мем проебали', 4)]"
96,15337,студент,1,"[('пикча угар', 2), ('заматериться спиздить шутка владислав минько', 5)]"
97,15332,,0,"[('', 0), ('лэти', 1), ('хороший', 1)]"
98,15319,студент итмый платный,3,"[('следующий стать грустно софт вспомнить платить', 6), ('херня', 1), ('говориться', 1)]"
99,15295,,0,"[('ставить лайк мочь вспомнить фонтан реально придумать', 7), ('итмый перестать шикарный организация', 4), ('сегодня забирать фонтан завтра забрать туалетный бумага свой ходить', 9), ('случиться цдо', 2), ('вс получаться пту', 3), ('фонтан случиться', 2), ('цдо плакать ум сойти коллега', 5), ('кощунство варварство вандал', 3), ('скинуть фотка новый ремонт коммент выпускник', 6), ('фонтан', 1), ('', 0), ('немой рука мыло однажды', 4)]"
100,15291,студент итмый конец каждый сема,5,[]
101,15287,выглядеть человек заботать теорвера,4,"[('однажды угадать ответ вопрос вариант выбор цдо теорвера', 8)]"
102,15282,готовить лидер крупный сектор инновационный стартап конкурентоспособный профессионал мегабатлер выпускать высококвалифицированный востребовать ягодный специалист область высокий технология инновация обладать одновременно стартаперский мегабатлерский знание навык практико личностноориентировать образование позволять выпускник готовый макдак сразу окончание университет активный жизненный позиция инновационный творческий мышление позволять быстро адаптироваться стремительно омегабатливающийся мир год подряд фтмить входить список топ мегабатлый постягодный пространство версия журнал хороший работник фастфуд партн ров факультет ведущий российский клоун инфобез известный пос лок ягодный,71,"[('хороший', 1), ('плохо воспринимать мем клоун инфобез ч гордость брать никак ведущий российский простой невнятный клоун', 14)]"
