,text_tokens,text_length
84,давать знакомиться ноябрь жд м день открытый дверь высокий школа институт высокий школа программный инженерия институт компьютерный наука кибербезопасность ноябрь суббота главный учебный корпус ауд регистрация инженерный строительный институт ноябрь суббота главный учебный корпус регистрация высокий школа кибербезопасность институт компьютерный наука кибербезопасность ноябрь суббота главный учебный корпус ауд регистрация высокий школа компьютерный технология информационный система институт компьютерный наука кибербезопасность ноябрь суббота главный учебный корпус ауд регистрация,66
85,посмотреть каникулы уверить каждый свой подборка интересный киношка нужный совет ваш список пропустить премьера точно захотеть новый правило приём изменение год прямой эфир заместитель ответственный секретарь приёмный комиссия директор центр формирование контингент обучаться спбп варвара сотовый ноябрь группа документ правило приём опубликовать сайт поступление,44
86,популярный направление институт промышленный менеджмент экономика торговля менеджмент менеджер специалист который управлять функция менеджер продажа лидер руководитель который организовывать человек процесс сегодня поздравлять профессиональный праздник опытный управленец начинать свой путь студент направление менеджмент подробный направление рассказать видео наш подборка всеонаправление сайт институт мочь ознакомиться профиль,45
87,начало отборочный этап отраслевой олимпиада школьник газпром отраслевой олимпиада школьник газпром проводиться профиль математик физика химия информационный коммуникационный технология экономика инженерный дело профиль олимпиада входить перечень рсош физика химия икт давать возможность победитель поступить вуз вступительный испытание задание инженерный дело разрабатываться преподаватель политех задание отборочный тур отраслевой олимпиада школьник газпром доступный личный кабинет регистрация выполнение задание ограниченный количество время прохождение тур попытка регистрация срок проведение отборочный тур ноябрь январь,69
88,день открытый дверь политех возвращаться декабрь пройти день открытый дверь санкт петербургский политехнический университет пётр великий формат очно онлайн жд презентация политехнический университет ответ вопрос поступление консультация представитель приёмный комиссия стенд каждый институт спбп представитель направление запись подготовительный курс политех информация военный кафедра вс студенческий жизнь представитель студенческий профсоюз политех лотерея классный приз ждать главный учебный корпус забыть зарегистрироваться ссылка дод,61
89,проверить свой финансовый грамотность ноябрь год пройти шестой ежегодный всероссийский онлайн зачёт финансовый грамотность который организовать банк россия совместно агентство стратегический инициатива любой желать начинать школьник младший класс смочь принять участие зачёт проверить насколько ориентироваться финансовый вопрос получить индивидуальный рекомендация сложный тема зачёт уровень сложность базовый начинать разбираться финансы хотеть уверенный правильно понимать основа грамотный финансовый поведение продвинуть готовый сложный вопрос иметь опыт использование разный финансовый продукт услуга прохождение личный зачёт занять минута пройти зачёт несколько количество попытка ограничить участник успешно прошедшее зачёт получить именной сертификат подробность регистрация доступный сайт проект,91
90,вызов политехник октябрь база санкт петербургский политехнический университет прош л ежегодный фестиваль вызов политехник старшеклассник провести день университет соревноваться направление инженерный соревнование хакатон кейс чемпионат кейс течение фестиваль ребята создавать собственный проект демонстрировать знание различный область работать принтер писать код соревноваться победа благодарить участник ещё поздравлять победитель уверить наш последний встреча,51
91,подавать заявка вдц смена программа генетический биоинженерия базовый метод работа нуклеиновый кислота переходить сайт школьник искать список участник поздравлять встреча ч рном море,23
92,стартап запустить поступить вуз вступительный испытание национальный технологический олимпиада нто командный инженерный олимпиада школьник класс студент бакалавриат специалитет профиль входящий перечень рсош возможность поступить вуз бви опыт решение реальный производственный задача новый знакомство впечатление друг весь страна политех олимпиада трек передовой производственный технология цифровой инжиниринг строительство научный медиакоммуникация зарегистрироваться любой профиль олимпиада пройти отборочный этап сайт олимпиада октябрь инструкция регистрация,60
93,планировать дело выходной нужно успеть день открытый дверь институт электроника телекоммуникация октябрь главный учебный корпус ауд программа презентация направление подготовка институт экспозон демонстрация оборудование система технология дегустация жидкий азот регистрация иэит приглашать экскурсионный марафон лаборатория октябрь научно исследовательский корпус регистрация подробный информация экскурсия разместить группа элита абитуриент иэит спбп,49
94,политех дальний восток октябрь всероссийский детский центр океан владивосток пройти открытие смена название инновация старт организатор модуль образовательный программа стать санкт петербургский политехнический университет пётр великий течение тр х неделя ребята погружаться область машинный обучение искусственный интеллект преподаватель политех участник программа умный город искусственный интеллект беспилотный автомобиль узнавать принцип построение беспилотный робот транспорт изучить виртуальный симулятор который моделировать различный ситуация условие функционирование желать участник хороший смена увлекательный обучение программа,69
95,сегодня октябрь свой профессиональный праздник отмечать сотрудник федеральный таможенный служба россия почему праздник отмечаться сегодня дата выбрать случайно день год страна впервые появиться единый таможенный устать родиться указ царь алексей михаилович взимание таможенный пошлина москва город российский впервые закрепить закон право обязанность таможенник мытчик осуществление контроль перемещение товар поздравлять весь причастный праздник напоминать год политех открыться новый программа специалитет экспертиза консалтинг таможенный дело подробный программа прочитать ссылка,67
96,гуманитарий ида м политех октябрь состояться день открытый дверь гуманитарный институт главный учебный корпус ул политехнический представитель институт рассказать вс поступление бакалавриат магистратура направление мочь ознакомиться ссылка регистрация дод,29
