,text_tokens,text_length
34,успеть получить скидка обучение подготовительный курс лэти важный шаг поступление университет являться успешный сдача экзамен продолжаться набор подготовительный курс егэ информация найти наш группа раздел услуга наш сайт наш курс помогать сдать егэ подготовиться обучение наш университет преимущество наш подготовительный курс год студент обучаться подготовительный курс сдать первый сессия отлично получить компенсация стоимость обучение курс занятие вести действовать университетский преподаватель эксперт егэ курс проходить формат очный дистанционный бонус оплата сентябрь действовать скидка обучение успеть записаться контакт ждать лэти,78
35,петрозаводск крупный город карелия наиболее живописный самобытный регион россия находиться сотрудник приёмный комиссия лэти передавать привет город писать комментарий скоро приехать гость,22
36,мный кампания год позади тысяча новоиспечённый первокурсник начать обучение лэти приёмный комиссия новый сила открывать сезон профориентационный деятельность впереди ждать день открытый дверь профориентационный практика школьник научный конференция квест розыгрыш встреча школьник город наш необъятный страна пропустить событие подписываться рассылка сегодняшний день запускать рубрика рассказывать поездка город наш страна показать работа приёмный комиссия изнутри давать совет поступление полезный информация идея ещё хотеть видеть дать рубрика писать комментарий сегодня сотрудник приёмный комиссия кирилл хорёвый прибыть пункт назначение рассказывать школьник лэти угадать город который находиться факт город стоить онежский озеро редко город называть порт море система река канал город иметь выход балтийский белый баренцев каспийский ч рной море регион привозить ряпушка рыба лосятина оленина морошка северный ягода,115
37,,0
38,скоро официально стать студент первый электротехнический ждать торжественный посвящение стена университет ждать выступление творческий коллектив интерактивный площадка фотозон вручение студенческий билет сентябрь г сколько торжественный церемония посвящение студент информационно просветительский акция ярмарка возможность ул профессор попов далее двор корпус скорый встреча лэтишникнуть подробный информация сайт,45
39,вопрос интересовать многий стипендия получить стипендия вид материальный поддержка студент бюджетный форма обучение первокурсник получать базовый стипендия течение первый семестр далее стипендия меняться зависимость результат сессия студент получить удовлетворительно получать стипендия студент успевать р студент успевать отлично р студент успевать отлично р студент который показать высокий результат наука творчество спорт мочь претендовать повышенный академический стипендия студент иметь достижение учебный научно исследовательский общественный культурно творческий спортивный деятельность повышенный государственный академический стипендия р сумма выплата устанавливаться приказ ректор каждый новый семестр стипендия приходить каждый месяц число кампусновать карта университет подробный информация найти сайт,91
40,важный информация весь иностранный поступить сайт появиться список поселение общежитие международный студенческий офис подготовить инструкция подробный инструкция краткий инструкция дата поселение ехать общежитие день направляться университет постановка миграционный уч идти ул профессор попов большой кирпичный здание помещение сотрудник международный студенческий офис осуществлять приём прибыть иностранный обучаться адрес оформлять медицинский страховой полис подавать документ постановка миграционный учёт получать разрешение оформление пропуск университет время работа аудитория понедельник пятница ещё дублировать контакт вопрос связанный прибытие университет миграционный сопровождение международный студенческий офис расселение обучаться общежитие университет управление воспитательный социальный работа,86
41,знакомство лэти подводить итог место лэти понравиться большой весь локация холл го корпус активно ставить реакция видео успеть насладиться вид лэти данный пост собрать серия весь ролик локация лэти приятный просмотр знакомство лэти лэти,34
42,итог розыгрыш месяц назад запускать опрос университет абитуриент готовый подвести итог розыгрыш победитель стать денисов виолетта виталиевич жигунов ольга михаилович григорьев ксения александрович поздравлять получение приз написать сообщение группа благодарный весь пройти опрос ваш мнение делать хороший включать уведомление пропустить следующий розыгрыш,42
43,уверить слышать словосочетание студенческий совет функция выполнять совет разобраться вопрос познакомиться студенческий совет спбгэта лэти прочитать статья,17
44,отсчёт пош л остаться неделя сентябрь полноценно стать студент первый электротехнический университет давать разобраться контактный информация главный источник информация деканат весь вопрос обучение перевод нужно обращаться туда самый актуальный информация найти основной группа спбгэта лэти поэтому подписываться пропустить полезность поступить становиться студент сентябрь получить справка студенческий канцелярия информация вопрос расселение обучаться общежитие университет поздравлять поступить окончание непростой период хотеть помочь стать хороший мочь оставить отзыв опрос,66
45,знакомство лэти заключительный видео дать серия показывать весь территория вуз корпус активно ставить реакция пост пара день заключительный ролик реакция выбрать место лэти понравиться большой весь знакомство лэти лэти,29
46,делать далёкий отвечать часто задавать вопрос прошлый неделя пройти эфир разбираться делать найти список зачислить самый волнующий тема данный момент общежитие ещё дублировать контакт отдел вопрос расселение подготовить ответ ваш вопрос эфир появиться новый вопрос контакт указать выше обращаться узнавать информация узнать заселить август сайт опубликовать список поселение указать весь информация приехать ранний назначить срок поселение поселение начинаться август год ранний срок общежитие поселиться получиться устроить выдать общежитие договориться заселение коммерческий хостел нужно делать близкий день стоить оформлять поменять место общежитие получиться момент публикация список место общежитие распределить мочь отказаться общежитие проживать хостел съёмный квартира документ нужный заселение общежитие инструкция вместе требовать документ опубликовать сайт нужно снимать прежний прописка нужно платить коммунальный услуга ещё стоимость проживание общежитие складываться плата наесть помещение занимать площадь плата пакет коммунальный услуга отопление холодный горячий вода электричество др составлять порядок рубль месяц зависимость общежитие стоимость проживание арендовать общежитие определяться отдельный приказ ректор размещ нный сайт вуз стоимость проживание общежитие межвузовский студенческий городок мсг определяться приказ руководитель мсг оплата производиться полгода семестр оплата общежитие осуществляться полгода арендовать общежитие поселение месяц далее помесячно мсг помесячно закрепить факультет общежитие факультет приоритетный общежитие стараться селить студент фэа общежитие фибс фрт фэл фкть арендовать общежитие селиться студент весь факультет стиральный машина каждый общежитие общежитие прачечный общежитие свой стиральный машина выдавать заселение бельё постельный посуда постельный бель постельный принадлежность матрас одеяло подушка общежитие выдавать иметь сво остальной студент приобретаться самостоятельно повлиять общежитие заселить распределение общежитие происходить централизованно распределение комната происходить общежитие нужно обсуждать заведовать прибытие общежитие оформить социальный стипендия временной регистрация общежитие возможность сосед мочь оказаться студент лэти общежитие мсг мочь оказаться студент вуз комната холодильник холодильник студент приобретать самостоятельно общежитие столовая самостоятельно готовить мсг комната использовать свой микроволновка электрочайник персональный компьютер утюг чайник посуда пр проживать приобретать предварительно следовать ознакомиться приказ ректор ода порядок использование личный электроприбор общежитие спбгэта лэти общежитие мсг использование микроволновка чайник комната запретить,307
