,id_поста,text_tokens,text_length,preprocessed_comments
40,1394,победа гуап региональный этап чемпионат профессиональный мастерство профессионал чемпионат высокий технология санкт петербург охватить компетенция основной возрастной категория компетенция юниорский линейка гуап стать площадка проведение чемпионат который год проводиться новый стандарт позволять участник бороться награда стажировка хороший работодатель страна площадка гуап студент среднее профессиональный образование школьник соревноваться следующий компетенция инженерия космический система основный линейка интернет маркетинг основный линейка цифровой метрология юниор студент факультет спо гуап побороться призовой место компетенция который завоевать медаль золотой серебряный бронзовый,75,[]
41,1392,жизнь общежитие готовиться готовиться поступить университет выбирать проживание общежитие первый возникать голова взять создать комфортный обстановка который чувствовать дом некоторый вещь который мочь полезный общежитие подушка постельный бельё общежитие предоставить некоторый предмет сон хороший взять свой подушка постельный бельё позволить спать комфортно личный вещь запастись свой любимый кофе чаемый сладость закуска помочь справиться домашний тоска создать ощущение комфорт новый обстановка электроника переносный компьютер планшет игровой консоль взять мочь сделать твой отдых разнообразный помочь расслабиться напрячь учебный день кухонный принадлежность общежитие общий кухня взять необходимый кухонный принадлежность кастрюля сковородка нож доска разделка позволить приготовить свой еда экономить деньга покупка готовый пища обед столовая удлинитель разветвитель комната мочь ограниченный количество розетка поэтому удлинитель разветвитель помочь подключить необходимый устройство компьютер зарядный устройство телефон электроника фотография предмет создавать атмосфера повесить настенный доска фотография друг семья предмет который создать уютный атмосфера помочь чувствовать близкий домашний уют расширить учебный материал взять весь учебный канцелярия который понадобиться время учёба использовать список отправной точка добавить свой персональный предмет сделать свой пребывание общежитие наиболее приятный,166,[]
42,1389,напоминалка сегодня завершаться заключение договор бакалавриат специалитет магистратура вс ещё подписать договор поспешить,13,[]
43,1385,последний день ма оригинал настать сегодня заканчиваться м оригинал документ образование контрактный место фспо заканчиваться м оригинал документ образование бюджетный место заочный магистратура успеть подать оригинал стать часть семья гуап,30,[]
44,1383,первокурсник хотеть лёгкий адаптироваться читать совет который помочь бояться спрашивать просить помощь весь бывать ситуация нужно совет помощь стесняться интересоваться спрашивать окружать множество человек который мочь посодействовать смочь помочь подсказать обратиться твой вопрос опаздывать пара предупредить староста каждый мочь возникнуть непредвиденный ситуация мочь опоздать обязательно предупреждать свой староста одногруппник который смочь передать информация закрывать учебный задание время семестр предверие сессия грамотно распоряжаться свой время хороший работать весь семестр темп делать вс последний неделя уч получить максимальный количество знание смочь пользоваться бояться отстаивать свой точка зрение дискутировать спор рождаться истина научиться воспринимать чужой точка зрение увидеть грань сложиться ситуация хороший ориентироваться активный множество внеучебный возможность вуз позволить хороший узнать найти любимый дело бояться пробовать новый ошибаться получать новый опыт делать нравиться развиваться запомнить встреча стена первый аэрокосмический,126,[]
45,1382,найти выйти список зачислить заочный форма обучение магистрант целевой квота искать встреча,12,[]
46,1379,помнить август точно август последний день подписание договор контрактный форма обучение бакалавриат специалитет магистратура забыть оформление договор необходимо заполнить дать плательщик личный кабинет встреча стена первый аэрокосмический,27,[]
47,1377,поступать квота забыть сегодня завершаться м оригинал документ образование поступление рамка квотный место направление заочный магистратура теряться время успевать поступать первый аэрокосмический,22,[]
48,1374,вступительный испытание вс сегодня заканчиваться проведение вступительный испытание контрактный место бакалавриат специалитет магистратура забывать назначить дата время экзамен удача встреча стена первый аэрокосмический,23,[]
49,1368,продолжать делиться успех наш новоиспечённый первокурсник илья борзенко студент институт радиотехник инфокоммуникационный технология поделиться узнать гуап проходить подготовка экзамен рассказать откуда род учиться гуап привет звать илья учиться петергофский гимназия император александр информационно технический класс почему решить поступать гуап м год школа ход профориентационный работа абитуриент прибыль представитель кафедра радиотехник гуап минутный рассказ направление заставить задуматься очень хороший вариант будущий карьера заведовать кафедра николай повар нкина пригласить желать посмотреть университет живой договориться встреча состав группа х человек увидеть представлять учебный аудитория данный направление учиться студент знание получить мо увлечение электроника программирование кореллировать содержание специальность поэтому выбор вполне оправдать понять уч нелёгкий обязательно дать свой плод будущее проходить подготовка экзамен егэ основное готовиться преподаватель школа подготавливать экзаменационный материал объяснять сложный задача разъяснять непонятный вопрос выделять время урок тренировочный работа находить задание интернет ресурс решать вариант сборник успеть вуз познакомиться успеть пообщаться спутник позадавать различный вопрос ждать дождаться знакомство свой коллектив страх поступить завалить экзамен человек человек порой терзать сомнение разный повод проговаривать мысль зря готовиться экзамен год решать сотня задание мучиться тяж лый задача зря прогуливать школьный занятие широта л красный аттестат получаться понизить уровень тревожность хотеть видеть большой интервью жизнь гуап переходить официальный группа университет,195,"[('наш человек', 2), ('студент имб', 2), ('пацан', 1), ('знать звать ильтос', 3)]"
