,text_tokens,text_length
394,нормально одногрупник делать мьюинга прямо пара выговор дать,8
395,найти телефон отнести дежурный служба,5
396,находить студак имя кузьмин ксения группа,6
397,ребята прийти экзамен причина болезнь последствие,6
398,найти троллейбус пропуск актуально владелец знать написать личка,8
399,анонимно чисто теоретически учиться заочко гос экзамен реально сдать весь обычно ставить менее знать троечка,15
400,нужный помощь лаба плюс аисд анонимно,6
401,добрый человек фэа задать пара вопрос личка факультет,8
402,ребята рассказать проходить экзамен аиго курс доценко нужно уметь знать получить анонимно,12
403,канал ютуба учебник нормально матан понять,6
404,оставить пакет одежда аудитория отнести гардероб корпус,7
405,человек добрый фэа пара вопрос факультет задать,7
406,делать выбирать вуз итог подать сюда окончательно разочароваться прекрасный руина препод шиза анон,13
407,найти обращаться гардероб корпус,4
408,мочь помочь лаба идз физика бесплатно анон,7
409,найти тетрадь отнести гардероб корпус,5
410,дорогой фэашник курс который лекция мат анализ горбанить ю хотеть поговорить обсудить супер важный бизнес дело пошутить шутка который писец важный момент время говорить широта думать ваш разговор слышный думать тихо говорить голос очень глубоко ошибаться пи дец слышный хотеть слушать лекция нах ходить мат анализ коворкинг столовая всякий ещ место мочь прийти делать хотеть очень сложно понять хотеть находиться пара изволить говорить широта очень сложно проблема экзамен,68
411,оставить оранжевый тетрадь формат спираль обычно относить потеряшка найти просить отписать комментарий анон,13
412,пропустить неделя занятие сколько отчислить,5
413,нибыть помогать экономика организация,4
414,антон ребята инноватик отписаться вопрос,5
415,весь привет мочь сдавать экзамен бжд павлов очень нужно узнать пара вопрос,12
416,знать м хрящев принимать сессия знать сдать остаться случайно нибыть расписать вопрос й й,14
417,искать женщина варка борщ выходной выбрать лайкам анонимно,8
418,потерять кольцо корпус предположительно район турникет найти найти отписаться отдать вахта,11
419,гардеробщица пятый корпус сказать пара пятый корпус,7
420,найти карта имя лада резвова отнести,6
421,принимать лаба иманбаев р хотеться услашать совет целое мнение преподаватель анон,11
422,найти отнести гардероб корпус,4
423,,0
424,передать вахта корпус,3
425,привет максимальный допустимый количество пропуск неуважительный причина семестр санкция следовать анон,11
426,весь привет подсказать нибыть вариант пересдать предмет образ идти красный диплом опыт,12
427,повести ужин пятница анон,4
428,помочь сделать лаба откликнуться коммент мочь хороший оставить свой тг пара день сдать цена договориться мочь договориться часть лаб время немного анон,22
429,анон прошлый год принимать год принимать лаба аисд валенса курс поставить лайк найти,13
430,анонимно жить общежитие рассказать написать коммент написать личка,8
431,пацан мсг корпус нужный мёртвый душа писать,7
432,сосед гордость весь казахстан хасан муса гордиться,7
433,нибыть группа иметься вопрос сппр анон,6
434,искать ребята группа написать комма поставить лайк написать анон,9
435,наслать отнести гардероб корпус,4
436,че думать инпрохех,3
437,братец играть присоединяться клан го поднимать наш клан,8
438,найти дорога вуз оставить охрана,5
439,нибыть лететь близкий время спб алматы,6
440,карта антон попов кпп го корпус,6
441,потерять цепочка находить написать,4
442,ауд подоконник оставить ч рный коробочка беспроводный наушник отнести гардероб го корпус,12
443,оставить подоконник,2
444,оставить компьютерный класс ом корпус оставить зарядка ноут белый найти отписаться,11
445,анон сказать принимать комиссия использовать попытка сдача экзамен,8
446,чёрный,1
447,забыть физ ру спросить гардероб корпус,6
448,мочь помочь сделать обработка лаба физика вариант анон,8
449,найти карта остановка студенческий улица,5
450,искать кунчик нога целовать деньга давать существовать найтись анон,9
451,взять академ семейный обстоятельство анон,5
452,найти коричневый шапка ул профессор попов значок отлететь шапка лежать кол машина,12
453,шарить физика очень нужный помощь аноним,6
454,наш л отн гардероб корпус,5
455,четверг оставить синий мешок физрыть предположительно весь неделя искать памагит,10
456,лежать парта,2
